iter	Passed	Remaining
585	21219	14991
586	21257	14956
587	21290	14917
588	21327	14882
589	21366	14848
590	21393	14805
591	21422	14763
592	21451	14722
593	21485	14685
594	21518	14647
595	21544	14604
596	21573	14563
597	21603	14523
598	21643	14489
599	21686	14457
600	21715	14416
601	21743	14375
602	21769	14332
603	21799	14292
604	21835	14255
605	21867	14217
606	21904	14182
607	21932	14140
608	21961	14099
609	21990	14059
610	22021	14020
611	22048	13978
612	22078	13938
613	22110	13900
614	22141	13860
615	22171	13821
616	22202	13782
617	22238	13745
618	22266	13705
619	22298	13667
620	22325	13625
621	22354	13585
622	22381	13543
623	22403	13499
624	22436	13461
625	22468	13423
626	22506	13388
627	22541	13352
628	22579	13317
629	22623	13286
630	22665	13254
631	22706	13221
632	22724	13175
633	22753	13135
634	22778	13093
635	22819	13060
636	22853	13023
637	22885	12984
638	22919	12948
639	22954	12911
640	22984	12872
641	23015	12834
642	23050	12797
643	23081	12759
644	23112	12720
645	23148	12684
646	23175	12644
647	23211	12608
648	23244	12571
649	23275	12533
650	23307	12495
651	23334	12454
652	23366	12416
653	23388	12373
654	23422	12336
655	23455	12300
656	23492	12264
657	23517	12223
658	23569	12196
659	23615	12165
660	23662	12135
661	23704	12102
662	23765	12079
663	23843	12065
664	23888	12034
665	23935	12003
666	23982	11973
667	24019	11937
668	24045	11897
669	24079	11860
670	24119	11826
671	24168	11796
672	24204	11760
673	24244	11726
674	24298	11699
675	24332	11662
676	24383	11633
677	24412	11594
678	24467	11567
679	24495	11527
680	24540	11495
681	24583	11462
682	24637	11434
683	24672	11398
684	24714	11364
685	24750	11328
686	24808	11302
687	24857	11272
688	24944	11259
689	24995	11229
690	25036	11195
691	25075	11160
692	25110	11123
693	25156	11091
694	25195	11056
695	25247	11027
696	25289	10993
697	25339	10963
698	25393	10934
699	25440	10903
700	25490	10872
701	25543	10843
702	25586	10809
703	25616	10770
704	25651	10733
705	25704	10704
706	25747	10670
707	25790	10636
708	25821	10597
709	25858	10561
710	25928	10539
711	25968	10504
712	26006	10468
713	26049	10434
714	26084	10397
715	26112	10357
716	26151	10321
717	26191	10286
718	26225	10249
719	26265	10214
720	26310	10181
721	26342	10142
722	26374	10104
723	26404	10065
724	26429	10025
725	26464	9988
726	26498	9950
727	26528	9911
728	26569	9876
729	26611	9842
730	26640	9803
731	26678	9767
732	26708	9728
733	26739	9690
734	26782	9656
735	26821	9620
736	26850	9581
737	26900	9550
738	26929	9511
739	26960	9472
740	27002	9438
741	27036	9400
742	27079	9366
743	27120	9331
744	27162	9297
745	27195	9259
746	27235	9224
747	27265	9185
748	27295	9147
749	27332	9110
750	27365	9073
751	27400	9036
752	27436	8999
753	27473	8963
754	27519	8930
755	27551	8892
756	27595	8858
757	27628	8820
758	27657	8781
759	27681	8741
760	27721	8706
761	27752	8668
762	27783	8629
763	27824	8594
764	27886	8566
765	27923	8530
766	27977	8499
767	28032	8468
768	28081	8435
769	28146	8407
770	28188	8372
771	28221	8334
772	28259	8298
773	28295	8261
774	28329	8224
775	28359	8186
776	28392	8148
777	28427	8111
778	28459	8073
779	28499	8038
780	28532	8000
781	28566	7963
782	28602	7926
783	28637	7889
784	28669	7852
785	28700	7814
786	28730	7775
787	28762	7738
788	28794	7700
789	28829	7663
790	28861	7625
791	28893	7588
792	28929	7551
793	28968	7515
794	29003	7478
795	29043	7443
796	29078	7406
797	29120	7371
798	29149	7333
799	29190	7297
800	29223	7260
801	29258	7223
802	29293	7186
803	29329	7150
804	29359	7111
805	29394	7075
806	29423	7036
807	29458	7000
808	29496	6964
809	29522	6925
810	29555	6887
811	29588	6850
812	29614	6811
813	29645	6773
814	29675	6736
815	29704	6698
816	29732	6659
817	29761	6621
818	29788	6583
819	29825	6547
820	29862	6510
821	29889	6472
822	29923	6435
823	29954	6397
824	29984	6360
825	30014	6322
826	30044	6284
827	30075	6247
828	30110	6211
829	30139	6173
830	30178	6137
831	30219	6102
832	30250	6064
833	30273	6025
834	30300	5987
835	30328	5949
836	30352	5910
837	30385	5874
838	30417	5837
839	30442	5798
840	30469	5760
841	30490	5721
842	30513	5682
843	30538	5644
844	30561	5605
845	30584	5567
846	30608	5529
847	30639	5492
848	30662	5453
849	30679	5413
850	30702	5375
851	30725	5337
852	30748	5299
853	30771	5260
854	30797	5222
855	30824	5185
856	30854	5148
857	30875	5109
858	30903	5072
859	30920	5033
860	30939	4994
861	30956	4955
862	30973	4916
863	30994	4878
864	31016	4840
865	31038	4802
866	31061	4764
867	31083	4727
868	31103	4688
869	31122	4650
870	31141	4612
871	31158	4573
872	31179	4535
873	31199	4497
874	31219	4459
875	31241	4422
876	31261	4384
877	31280	4346
878	31299	4308
879	31316	4270
880	31331	4232
881	31343	4193
882	31361	4155
883	31380	4117
884	31398	4080
885	31414	4042
886	31433	4004
887	31454	3967
888	31475	3930
889	31493	3892
890	31510	3854
891	891	31534	3892	892	31561	3893	893	31579	3894	894	31596	3895	895	31616	3896	896	31635	3897	897	31654	3898	898	31677	3899	899	31701	3900	900	31722	3901	901	31743	3902	902	31762	3903	903	31787	3904	904	31802	3905	905	31825	3906	906	31847	3265
907	31861	3908	908	31902	3193
909	31922	3910	910	31946	3911	911	31968	3912	31989	3048
913	32010	3011
914	32037	2976
915	32061	2940
916	32084	2904
917	32105	2867
918	32131	2832
919	32150	2795
920	32171	2759
921	32198	2723
922	32224	2688
923	32247	2652
924	32270	2616
925	32305	2581
926	32331	2546
927	32351	2510
928	32372	2474
929	32391	2438
930	32412	2402
931	32438	2366
932	32458	2330
933	32477	2294
934	32496	2259
935	32512	2223
936	32538	2187
937	32559	2152
938	32581	2116
939	32600	2080
940	32622	2045
941	32646	2010
942	32667	1974
943	32690	1939
944	32715	1904
945	32734	1868
946	32756	1833
947	32774	1797
948	32793	1762
949	32810	1726
950	32830	1691
951	32848	1656
952	32868	1621
953	32885	1585
954	32904	1550
955	32922	1515
956	32943	1480
957	32965	1445
958	32981	1410
959	33000	1375
960	33018	1339
961	33033	1304
962	33053	1269
963	33076	1235
964	33092	1200
965	33111	1165
966	33129	1130
967	33152	1095
968	33171	1061
969	33190	1026
970	33208	991
971	33228	957
972	33248	922
973	33268	888
974	33285	853
975	33305	818
976	33328	784
977	33349	750
978	33369	715
979	33388	681
980	33407	647
981	33427	612
982	33449	578
983	33471	544
984	33490	510
985	33511	475
986	33534	441
987	33556	407
988	33577	373
989	33598	339
990	33627	305
991	33644	271
992	33659	237
993	33675	203
994	33691	169
995	33707	135
996	33722	101
997	33732	67
998	33744	33
999	33755	0
3	0
